InvoiceNumber,Date,CarVIN,CustomerID,StaffID,Amount,Name_x,PhoneNumber,Email,Address,City,State/Province,Country,Zip/Postal Code,Name_y,Store,Manufacturer,Model,Year,Color
113,06/03/2024,ECJYTX2R93DDAPLNH,18,2,30820.71,James Payne,001-594-547-1697x06469,smiller@example.com,93521 Lozano Summit,Aaronmouth,Montana,Lebanon,20406,Louis Hopkins,Store A,Honda,environment,2016,Red
114,21/10/2024,HFVFXP7B8Z8XN2MPH,99,44,48597.75,Zachary Hughes,683.770.5422,welchdonna@example.net,2634 Melendez Mission,West Shawn,Colorado,Dominican Republic,72748,Marissa Cruz,Store C,Ford,positive,2022,Blue
115,26/06/2024,ZZSJHJUG2BR9MZYMV,59,57,43974.38,James Nguyen,840-641-3508,kimberlyoconnell@example.com,0640 Young Place Suite 082,South Christopher,Louisiana,South Africa,95419,Joseph Duke,Store A,Ford,local,2023,Black
116,22/01/2024,S86717B22RL2TY7XJ,132,7,33858.21,Kyle Jones,480.427.0773,johncook@example.org,25543 Kristin Key,Lake Michaelville,North Dakota,Latvia,83590,Jeffery Bradford,Store C,Ford,trip,2022,Blue
117,04/11/2024,4W076PU80LJVYNUUY,110,5,49262.97,Mike Johnson,582-499-9507,ramosandrew@example.org,984 Strong Knolls Suite 296,North Maryville,Wyoming,Switzerland,79555,Sandra Cunningham,Store C,Ford,collection,2021,Blue
118,24/05/2024,N4GB39682276KS1G3,6,44,26573.83,Thomas Nguyen,5462016318,leealfred@example.org,43972 David Island,South Aliciaton,Ohio,Portugal,98735,Marissa Cruz,Store C,Nissan,wife,2019,Red
119,13/06/2024,1B1Y9AD09AFAYP8RR,135,135,47904.82,Sydney Campos,+1-775-399-6860x55804,david01@example.com,69269 Matthew Trace Apt. 521,Herreraville,Iowa,Pakistan,2380,Steve Marquez,Store C,Ford,visit,2021,Red
120,04/10/2024,8394ME0A035VYYC87,6,67,15702.34,Thomas Nguyen,5462016318,leealfred@example.org,43972 David Island,South Aliciaton,Ohio,Portugal,98735,Cynthia Clay,Store D,Nissan,choice,2016,Green
121,29/10/2024,CD942X5420TCHSLPA,3,96,29379.75,Jonathon Williams,-4650,nelsondebra@example.com,641 Young Stravenue,Hayesville,Missouri,Martinique,59812,Matthew Mullen,Store D,Toyota,inside,2017,White
122,10/06/2024,S86717B22RL2TY7XJ,80,156,35921.06,Pamela Daniels,882.233.9074,pkhan@example.com,470 Caitlin Views Apt. 424,New Vickiefort,South Dakota,Heard Island and McDonald Islands,93160,Jeffery Nelson,Store B,Ford,trip,2022,Blue
123,29/07/2024,2HMBTGGW0MKPX0R0K,113,64,29336.35,Matthew Brown,644-945-2907x38046,potterbrian@example.com,001 Willis Oval Suite 961,Port Heidi,Wisconsin,Trinidad and Tobago,3317,Jessica Winters,Store D,Honda,total,2019,Red
124,18/03/2024,XE2CZM3A51DJJ55SK,29,107,42572.62,Mark Taylor,(533)230-2543,crystallove@example.com,31357 Macdonald Mountains,Colinchester,Delaware,Vietnam,87978,Keith Martinez,Store D,Chevrolet,item,2015,Black
125,04/03/2024,NSF877E14SJ0GCAX8,151,93,47207.79,Angela Smith,(903)478-4310x3011,anna43@example.com,896 Elizabeth Mills,Davidport,South Dakota,Belarus,74017,David Ellis,Store C,Ford,chair,2016,Black
126,31/08/2024,M84KK5RN5VFZKF829,135,110,42951.88,Sydney Campos,+1-775-399-6860x55804,david01@example.com,69269 Matthew Trace Apt. 521,Herreraville,Iowa,Pakistan,2380,Amy Miller,Store C,Ford,including,2015,Green
127,10/06/2024,8JFVK6NGXD6EGEBXM,5,157,42466.92,Corey Campbell,(436)413-9387x8485,wendy96@example.org,6829 Kyle Flat,South Michaelport,Kansas,Tonga,79742,Scott Keller,Store B,Nissan,information,2019,Green
128,14/10/2024,GBZAP0W79KDLC3XHV,144,75,23220.36,Sandra David,001-599-847-3085,juan44@example.com,56740 Ryan Haven,Gordonport,New Hampshire,Hong Kong,88355,Joan Cooper,Store C,Chevrolet,country,2019,Green
129,04/08/2024,24KYNBKS8VYDLHGL2,17,10,20215.29,David Brooks,314.467.2302x787,kevin39@example.com,053 Cook Ports,New Jessicabury,Montana,Isle of Man,55857,Isabel Robinson,Store A,Honda,early,2018,Black
130,08/05/2024,FBUJF69U9NM3MTFRB,68,68,39278.82,Jennifer Shelton,567-214-3102x072,martinezjames@example.org,42912 Wilson Isle,East Stevenland,South Dakota,United Arab Emirates,80497,Bradley Lopez,Store B,Chevrolet,exist,2021,White
131,03/08/2024,X5NUFNY6X3K4YS4Z0,84,30,18505.63,Karen Russell,743-760-9993x6395,kmcclain@example.net,847 Jasmine Ford Suite 453,North Eugene,South Carolina,Antigua and Barbuda,82735,David Franklin,Store D,Toyota,late,2020,Black
132,14/01/2024,9KP5VT932196EH8K7,63,43,33450.44,Travis Johnson,6694728834,jacobsjames@example.org,0595 Brianna Courts,West Amandamouth,Kansas,Germany,67468,Sara Sparks,Store B,Toyota,some,2022,Green
133,18/03/2024,2HMBTGGW0MKPX0R0K,17,57,39512.67,David Brooks,314.467.2302x787,kevin39@example.com,053 Cook Ports,New Jessicabury,Montana,Isle of Man,55857,Joseph Duke,Store A,Honda,total,2019,Red
134,26/09/2024,R9TYSEMB9H36ZV649,71,96,20496.58,Kristin Brown,001-233-913-2311x3397,sullivankevin@example.com,9774 Ronald Circles,Summershaven,Illinois,Saint Helena,3354,Matthew Mullen,Store D,Chevrolet,performance,2020,Blue
135,30/12/2024,HUHDVG0G70CPYWX0M,138,96,24138.25,Allison Welch,(388)629-5563,olopez@example.net,98159 Johnson Fort,Petersonfurt,South Dakota,Saint Lucia,15873,Matthew Mullen,Store D,Nissan,seven,2016,Black
136,15/12/2024,LB78M0JS5YE8JZ3NU,55,64,15047.64,Aaron Ali,+1-890-523-5427x1886,kparrish@example.com,02630 Kristin Drive,Jordanchester,Nebraska,Russian Federation,20135,Jessica Winters,Store D,Toyota,whole,2016,Blue
137,22/10/2024,LB78M0JS5YE8JZ3NU,71,54,40845.47,Kristin Brown,001-233-913-2311x3397,sullivankevin@example.com,9774 Ronald Circles,Summershaven,Illinois,Saint Helena,3354,Jason Bird,Store C,Toyota,whole,2016,Blue
138,26/12/2024,ZPAWMYL02H4ZKD284,145,56,29026.29,Joshua Valdez,001-386-203-7007x005,shannonmargaret@example.org,536 Rosales Manors,Cartermouth,Wisconsin,Finland,61615,Brian Fischer,Store D,Toyota,article,2016,Green
139,25/03/2024,J0T20K019MRZ7UR09,142,50,31631.39,Kyle Garcia,(687)911-5136,cochranlindsay@example.com,4202 Allen Overpass,New Matthew,Wyoming,Belarus,23687,Victoria Wiggins,Store C,Ford,and,2018,Red
140,02/06/2024,B2E9BT4Y6WF0ZJBVM,140,85,33758.85,Anthony Castro,817.527.4333x30477,deanbennett@example.org,454 Donna Square,Michaelborough,Oklahoma,Kiribati,9670,April Campbell,Store B,Nissan,police,2015,Green
141,31/07/2024,R9TYSEMB9H36ZV649,94,149,25524.71,Daniel Washington,6532262312,jennifergonzalez@example.org,739 Wood Stream,Jorgeland,Wisconsin,Rwanda,14906,Patricia Moore,Store D,Chevrolet,performance,2020,Blue
142,05/01/2025,2A3FDHKH6X40YZJZV,134,15,33418.05,John Velasquez,659.787.5918x4953,dmcintosh@example.com,646 Wells Circles Suite 467,Makaylahaven,Maine,Slovenia,32374,Pamela Harrington,Store B,Chevrolet,child,2017,Red
143,25/12/2024,1A9DML9R6RDSJT3NH,146,66,37904.95,Michelle Thomas,(233)828-1897x67583,alexanderhenson@example.net,30811 Lawson Burg,Oconnorton,Louisiana,Armenia,7592,Maria Mcfarland,Store D,Ford,stock,2019,Green
144,28/09/2024,FBUJF69U9NM3MTFRB,2,143,35486.05,Miguel Hernandez,(435)713-0920,taylor75@example.com,6710 Aguilar Stream Suite 334,North Amber,Indiana,Brunei Darussalam,96138,Charles Pugh,Store D,Chevrolet,exist,2021,White
145,25/06/2024,SRVN1EV66YFL8XA5A,44,146,34934.46,Traci Carter,558-731-3855x518,pescobar@example.com,56608 Donna Camp Suite 032,Robertview,New Mexico,Swaziland,34429,Chelsea Martinez,Store A,Honda,to,2017,Blue
146,22/12/2024,9KP5VT932196EH8K7,70,34,20849.61,Aaron Nelson,844.585.8789,piercestephen@example.com,46974 Elizabeth Lodge Suite 544,North Catherine,Iowa,Nauru,56736,Timothy Mejia,Store A,Toyota,some,2022,Green
147,18/04/2024,Y32N5DXC40PNY6XSE,114,122,19155.92,Cynthia Davidson,5316766491,bethmorton@example.org,02283 Lisa Avenue,Kelseystad,Kansas,Dominica,26590,Kimberly Tapia,Store C,Nissan,I,2020,Green
148,19/11/2024,ND0P8U2J0UJG3WDWY,136,60,36614.57,Anthony Krause,345.437.4226x67061,harrisdeborah@example.com,9707 Scott Lakes,Port Angela,Connecticut,Bahrain,65567,Jennifer Miller,Store A,Toyota,light,2018,White
149,30/11/2024,NJT7SD4W7PUAY70HC,12,128,29113.47,Lindsay Chen,001-851-703-1828x1152,gibbsashlee@example.org,28215 Williams Wells Apt. 412,Millsmouth,Nebraska,Christmas Island,85545,Clayton Nelson,Store B,Ford,political,2020,Green
150,03/03/2024,CD942X5420TCHSLPA,87,94,32021.21,Linda Miller,925.389.9140,merickson@example.com,8868 Hernandez Drive,Johnburgh,Wyoming,United States Minor Outlying Islands,36442,Holly Hernandez,Store A,Toyota,inside,2017,White
151,11/11/2024,24KYNBKS8VYDLHGL2,96,81,15018.79,Chad Campos,+1-563-328-7326x47173,weavermichael@example.org,37757 Evan Coves Apt. 269,Anthonyview,Wisconsin,New Zealand,39863,Susan Ortiz,Store A,Honda,early,2018,Black
152,17/12/2024,V1D1BKJG8DC66VJKX,77,105,49643.6,Michael Banks,361-774-1158,ujohnson@example.com,00071 Jennifer Turnpike Suite 681,Richardfort,Louisiana,Egypt,57287,Benjamin Taylor,Store A,Toyota,manage,2020,Blue
153,03/02/2024,5NYE1AD5901HX6S6U,153,139,15929.41,Matthew Cox,692.526.6470,zclements@example.net,572 Cobb Corners Apt. 074,Lake Kimberly,Maine,Gambia,35030,Jennifer Bryant,Store D,Ford,middle,2017,White
154,02/05/2024,4YUWDY9F5FSDA5CAU,63,88,49492.52,Travis Johnson,6694728834,jacobsjames@example.org,0595 Brianna Courts,West Amandamouth,Kansas,Germany,67468,Teresa Hall,Store C,Honda,enjoy,2019,White
155,28/02/2024,BPFXM9M40VL2CU0V0,44,22,22750.69,Traci Carter,558-731-3855x518,pescobar@example.com,56608 Donna Camp Suite 032,Robertview,New Mexico,Swaziland,34429,Catherine Lopez,Store D,Honda,peace,2022,Black
156,01/04/2024,V7EDWJTC5SDHA65MG,111,81,42522.74,William Holloway,3657553264,amanda28@example.net,26950 Lance Port,Evansland,South Carolina,Saudi Arabia,89393,Susan Ortiz,Store A,Honda,several,2022,White
157,30/01/2024,M84KK5RN5VFZKF829,157,9,16340.64,Sherry Davis,001-356-826-2070x47054,allenkelly@example.org,6637 Michael Locks,Lake Faithtown,Ohio,Malaysia,74892,Angela Banks,Store A,Ford,including,2015,Green
158,30/09/2024,N94TEW227BURRLFZN,32,14,33639.93,Ariel Baker,-3372,juanespinoza@example.org,2677 Taylor Plaza,Patriciastad,Idaho,Togo,918,Anne Lawrence,Store D,Honda,care,2020,Blue
